Summary,Dominant Topic
height banks little miami river shortly taking . engine failure due broken hub right engine led detachment motor .,2
severe rainstorm attempting land .,1
san francisco bay shortly taking oakland airport .,7
onto golf course burst flames circling airport twice land .,9
mail 8 west salt lake airport . believed overturned attempting land dark .,0
chingshan mountain range 10 south tsinan fog .,0
fog attempting land .,8
attempting land alternate airfield sleet storm . struck roof barn adjacent airfield destroyed . icing .,3
gain altitude taking . landing gear hit top dam .,3
"orders supervisor , pilot took extremely poor weather conditions . encountering fog attempted turn back airport wing tip struck knoll .",9
heavy fog minutes taking rockford . witness said caught fire explosion mid air .,8
canyon mountains snowstorm .,7
disappeared 45 minute .,9
mail .,7
struck irrigation ditch caught fire landing .,3
"skeleton old windmill , yards edge field practicing night landings .",9
orchard striking power lines fog .,0
mail pilot drowned parachute tangled fuselage dragged ohio river .,7
burned fog attempting land burbank airport . pilots radio man killed .,1
"severe snowstorm andes mountains . wreckage buried ice snow ’ found march 22 , 1934 .",7
mail struck mountain burned encountering poor weather conditions .,7
former american army flyer donald duke killed carrying bolivian army supplies .,2
mail ditched english channel encountering 60 mile-an-hour gale force winds .,2
mountainous terrain spessart mountains fog .,7
became lost circled struck oak tree onto island bayou .,1
mail snowstorm . pilot died two days later injuries .,7
went vertical bank burned .,7
pilot mail lost bearings hillside poor visibility .,1
mail taking .,7
burned .,7
"tops two houses smashed third , bursting flames heavy rain . unusual unforeseen condition weather developed intensity immediate locality accident . ceiling suddenly dropped approached destination .",4
"airliner crusing 4,000 fire observed coming tail section . pilot tried make emergency landing fuselage split two causing crash burn . although never proven , thought first airline disaster caused act satotage . fire thought started passenger attempt commit suicide .",3
"cruising 1,600 new jersey , strong air currents droped ship 700 leveling . could regain safe height , plummeted atlantiocean . decision commander fly storm despite presence lightning .",9
mountain .,7
test delivery eurasia china .,0
landing fog .,0
mail ravine .,7
storm attempting make emergency landing .,3
takeoff ground insane asylum .,0
"chicago , destroyed explosive device placed hold , consisting nitro-glycerin attached timing device . first proven case sabotage history commercial aviation .",3
thickly wooded area upon taking pilot became lost fog .,3
chingshan mountain range fog .,0
due structural failure test .,9
striking obstacle landing poor visibility .,3
radio antenna tower tore wing dense fog .,9
severe snowstorm . icing . named 'emeraude . ',7
"top parley 's canyon , 20 salt lake city shortly taking cheyenne .",1
snow drift due icing blizzard .,7
"scadta pan subsidiary . operating domestiflight , colombian jungle , called 'green hell . ' five goigira indians , canoeing uribe river , found pieces clothing , dead bodies five people crash , wreckage . also found man alive , dazed , exhausted , half crazy unable speak . carried seven days jungle civilization . later recovered , name newton c. marshall , general manager south american gold & platinum company . survivor .",7
take due engine failure .,3
english channel sunk immedately fog .,9
struck aerial mast houses attempting take .,7
"last chance hill catskill mountains altitude 2,000 fog thunderstorms .",8
mar chiquita lagoon heavy rainstorm .,1
weather related .,1
pick passengers . near fire station heavy fog burst flames killing pilot .,8
failed gain altitude struck grove trees attempting take . came rest watermelon patch .,7
"violent storm near swiss - germany border . fell height 3,000 , bursting flames .",1
11 st. joseph heavy fog . pilot error taking dangerous weather conditions turning close ground fog-bound area . inaccurate weather conditions reported pilot .,9
"in-flight loss control , possibly stalled low altitude dusty low-visibility conditions",6
265 .,6
"delivery england brisbane in-flight loss control , probably due type 's design deficiencies .",6
mail burned farm .,7
mail ground low altitude . icing .,7
mountain .,7
burned half-way baghdad gaza . named 'univer ' ( dutch word stork ) .,2
"big pilot mountain , 50 top summit , four sunbright , poor visibility .",1
mail burned soon taking blinding snowstorm .,7
"full speed hill , 450 high rain fog . pilot error .",3
fuselage failure .,9
"flying airport strong headwind , attempt land , one 's two engines failed . attempting return airport pilot headed strong wind lost airspeed stalled height 100 - 130 .",3
"chief pilot air france , robert bajac , 36 , killed .",9
penetrating thunderstorm .,5
"rattlesnake butte lost engine power . james montijo , 40 , man taught amelia earhart fly , killed .",9
"albuquerque kansas city . encountering fog poor visibility , diverted kirksville witnesses reported low flying made contact ground . whether struck ground pilot attempting make emergency landing available fuel supply exhausted , reasons , could determined . new mexico senator bronson m. cutting , 46 , killed . improper clearance airplane albuquerque company 's ground personnel 's two-way radio functioning properly .",9
"sightseeing trip , ran fuel . carelessness negligence part pilot replenishing fuel supply got dangerously low poor judgment part attempting return airport open terrain ahead . many passengers use seatbelts instructed use .",8
"midair collision i-5 fighter 2,300 ft. fighter performing aerobatics trying loop around tupolev . residental neighborhood maiden . nicknamed 'maxim gorky . ' pilot error . forty-nine killed tupolev , one i-5",3
ground farm high speed .,3
ulua river .,0
"collision occurred two ford tri-motors one barely ground one still ground olaya herrera airfield . accident officially attributed wind sheer one blown took . rivalry among two pilots may played part accident one pilot buzzed four days accident .. actor , singer , carlos gardel , 44 , lyricist alfredo le pera , 35 , among killed .",3
lost altitude attempting emergency landing taking losing engine . wing hit dyke burst flames .,1
deviated course flew 20 shore . cause unknown .,7
mountain near st. bernard pass switzerland . mountains obscured clouds .,7
3 south gilmer . outboard engine separated propeller blade broke resulting imbalanced condition led loss control .,9
"flew mountain 43 west glendo heavy fog . advice contrary , pilot decided fly direct denver rather go around , following valleys airways used pilots . direct took across dangerous flying country west .",0
"dense fog caused pilot make forced landing 15 south point barrow . mechanical repairs , took , rose 50 shallow water . loss control low altitude sudden engine failure due extreme nose-heaviness . adventurer , wiley post , 37 , humorist , rogers , 56 , killed . experts believe combination miscalculations design operation heavily customized resulted uncontrollable spin occurred right takeoff .",3
lost altitude hit power lines developing engine trouble taking .,0
"flying normal , slightly descending path , first collided ground top small knoll tearing engines engine nacelles . rebounded continued air distance 1,120 , came rest . error part pilot executing abrupt maneuver insufficient altitude safety failure pilot maintain proper control maneuver .",8
fog .,0
lost left engine shortly taking . pilot tried make emergency landing caught downdraft .,3
hill poor weather conditions 5 south cheyenne . test . poor judgment pilot executing abrupt maneuver insufficient altitude safety failure pilot maintain proper control maneuver .,8
postal atalaya beach .,5
plunged ground thirty minutes leaving fort worth . tried return dallas airport due inclement weather .,3
ground crossing english channel rain gale force winds .,7
ran fuel alexandria . named 'the city khartoum . ',1
"flew trees disintegrated . cause crash could determined . possible causes include , passenger interference , one fuel tank running dry , flying low co-pilot alone controls .",9
"tapacari swamps , 23 chochabanba .",9
vanished coast corsica sending distress call engine failed .,6
clump trees attempting landing snowstorm .,8
mail disappeared .,7
crash landed mountains snowstorm .,7
mountains caught fire . carrying mainly german tourists .,7
mail explosion mid-air crashing ground snowstorm .,7
"chestnut ridge fog . poor judgment part pilot flying visual ground observation methods descended clouds overcast mountainous terrain point unknown . clouds poor visibility , required flying close ground whereas safest method circumstances climb overcast safe altitude determine location instruments radio .",7
"taking hit boat . shipped miami repaired . one injured passengers jose iturbi , well known conductor pianist .",9
"slopes mount basso , 20 turin .",5
four motors quit taking . pilot attempted land house . first fatal aviation accident sweden .,9
engine failure .,3
side mountain fog .,7
.,7
mail mountains 50 toulouse fog .,0
"attempting take lambert field . making turn extremely low altitude , reasons unknown , wing airplane unintentionally contacted ground .",9
snowstorm pilot cut motor hill .,7
"half-hour taking , engine failed fence burst flames making forced landing .",3
caught fire airliner struck side hill .,8
pilot error .,8
pilot error .,1
french alps high winds .,5
aviator jean mermoz killed . last message aviator 'we switched rear engine . ' crew four never found .,3
houses attempting take heavy fog . stewardess radio operator survived . designer juan la cieva killed .,7
lone peak attempting land salt lake . inability pilots identify south leg salt lake radio range due local staticondition rendered range receivers airplane inoperative .,1
"mail early creek ridge , 15 south kellogg , blizzard .",7
"trees poor weather attempting land newark . error part pilot attempting get overcast without first definitely proving position . improper dispatching clearing area predicted bad weather , particularly area cleared permit safe return , staticonditions encountered rendered reception radio range signals airplane 's range receivers unintelligible .",1
attempted go-around right engine failed burst flames corn field ..,9
"approach burbank airport , airliner rice canyon , south newhall . raining poor visibility . flew hill loosing wings , continued without wings across rice canyon struck rocky wall bluff dropped hundred bottom canyon . error part pilot attempting fly newhall pass altitude lower surrounding mountains without first determining radio , existing weather .",9
"pinetos peak , 4 southeast newhall attempting land burbank airport fog rain . pilot descended dangerously low altitude without positive knowledge position . african explorer , martin johnson , 52 , killed . johnson suffered fractured skull crash died next day hospital .",3
mail .,7
"san francisco bay , approximately 2 offshore , approach . accidental jamming elevator controls result co-pilot 's microphone inadvertently dropped lodged elevator control column seat rail way crew unable prevent rapid descent airplane . first accident involving dc-3 .",9
german mail swamp .,7
mountainside snowstorm .,7
attempting land . heavy icing rendered uncontrollable .,1
"airship hindenburg caught fire burned moored lakehurst , new jersey . possible causes statidischarge ignited leaking hydrogen sabotage . theorized sudden turn landing caused steel cable snap punctured one hydrogen airbags . thereafter , mooring ropes dropped ground , cage discharged setting statidischarge hindenburg 's outer skin frame causing hydrogen ignite .",3
takeoff .,1
"disappeared lae howland island . flown higher expected due storms used extra fuel . addition , strong head winds encountered . likely ran fuel ditched ocean 50 100 northwest howland island . amelia earhart , 40 , navigator fred noonan , killed .",3
potato field possibly struck lightning in-flight fire .,2
building takeoff .,1
flying boat plunged ocean 20 cristobal . probably struck water high speed destroyed immediate explosion fire .,3
forced ditch due bad weather . one wing broke due high waves 8 passengers hung remaining wing rescued .,3
struck power pole taking daytona ground 600 first point impact . absence reasonable notice operating navigating object erected constituted hazard taking .,9
burned dense fog enroute .,0
mail pyrenees mountains .,7
landed phaleron bay . two passengers drowned . poor visibility blamed accident .,6
"bronislaw hubermann , celibrated polish violinist sightly injured .",7
"side mountain ( humpy ridge ) level 10,000 ft. adverse weather conditions . staticonditions encountered last portion rendered reception radio range signals unintelligible . continuation mountainous country altitude higher mountains without aid ground visibility radio signals definitely identify position . change weather caused approach unpredicted cold front .",1
hit ground prematurely attempting land .,1
flying boat attempting take . named cygnus .,7
poor weather conditions .,1
"10 minutes landing vienna told change course prague airport controller . change took mountainous terrain snowy conditions . impacted hutska hora mountain alitiude 3,300 . cause never determined . possibly naviational error political reasons .",7
icing wing caused crash close 's destination .,9
"12 northeast bozeman experiencing structural failure tail . severe turbulence reported area time accident . structural failure upper vertical fins rudders due flutter 'natural resonance , period vibration ' resulted separation rudder fins loss control .",7
"exploded mid-air crew attempted dump fuel emergency landing pago pago . neither six crew members ever found . named 'samoan clipper . ' pan american 's first pilot , captain edwin c. musick , killed .",9
rugged terrain .,9
two mid-air heavy rain darkness .,4
airship trial preparation rescuing russian scientists ice floe greenland . airship side mountain .,0
flying boat struck breakwater 60 hour burst flames attempting take .,3
second test .,8
fog within 's destination near bourget airport .,3
high sierra encountering severe weather front . pilot radioed ice forming dc-2 's wings neared tehachapi mountains near bakersfield turning back towards north land fresno . sheared tops pine trees summit . wreckage found 6/12/38 .,7
burst flames shortly taking dum dum .,4
mountains .,0
,0
"struck stroh peak 3,300 mint canyon , 27 minutes taking burbank airport . struck ridge , bounded ravine struck second ridge , broke burst flames .",7
mail taking .,7
uncontrollable fire developed right engine pilot decided make emergency landing rather try reach cleveland airport . struck trees level 8.5 east cleveland airport . fire right engine accessory section resulted failure cylinder barrel fed right engine oil supply .,3
"hour leaving santiago , radio contact lost , high andes . found february 1941 , indians , plundered dead passengers looking valuables .",1
"taking billings , airplane left ground stalled condition pilot attempted recover use full emergency power . emergency power available improper adjustment stop placed quadrant propeller pitch control levers , preventing levers going full low pitch position . result stalled condition , airplane fell right wing point 1,100 beyond ne runway , pilot cut switch prior impact .",9
flying boat tyrrhenian collapse wing .,9
struck lightning .,7
one squadron performing aerobatics large crowd grandstands . gust wind caused lose control looping maneuver .,3
flew hillside soon takeoff kisumu . ship named 'amalthea . ',1
"ocean guam manilla . last known position 12.27 n , 130.40 w 582 nm east southeast manila 04:00 gct . cause unknown . may hijacked japanese flown truk island crew passengers murdered . named 'hawaii clipper . '",1
carrying hungarian journalists .,7
black forest mountains poor weather conditions . one stewardess survived .,1
"flew mountain wave taking , went dive guanabara bay .",1
caught fire ground looping .,2
shortly taking .,0
"hong kong chungking , shot japanese military fighters . named kweilin .",3
cane field attempting land pilot swerved avoid tractor .,8
missing . one postal bag found glacier .,7
broke-up midair ground.airport .,3
. daodenong,7
caught fire field two minutes taking . farm worker crushed death wreckage landed .,7
flew ground approach poor visibility . first officer commander military flying school soesterberg .,8
mail several minutes taking regina,7
takeoff hit palm tree burst flames due engine failure .,3
flying boat lake ramadi .,4
"ran fuel ditched ocean . failure pilot definitely establish position standard orientation procedures within reasonable time intersecting leg oakland radio range company dispatchers , charged responsibilities directing operation trip , properly safeguard , resulting forced landing due exhausted fuel supply .",6
near okinawa due engine failure .,3
struck dyke near schiphol airport caught fire taking .,2
shot japanese . owned imperial airways operated qanta,8
attempting land .,8
"2,650 past runway boundry taking . fire considerable intensity developed , prior crash , cockpit , immediate vicinity gasoline cross-feed valve . possible determine exact origin source fire .",3
seaplane flames mountains northeast .,4
katherine river storm .,7
", ditched , broke two sank atlantiocean , 285 se long island new york . complete loss power two inner engines partial loss power two outer engines due carburetor icing . named cavalier .",3
mediterranean .,7
"tail broke . dutch engineer a.g. von baumhauer among killed . famous helicopter pioneer first came tail rotor/main rotor configuration use today . strructural failure wings horizontal tail surfaces due imposition loads thereon excess designed , failure occurring abrupt pull-out dive following recovery inadvertent spin .",9
pilot error .,8
shot he-111 german military .,8
"explosion engine , takeoff blew two halves cowl open creating excessive drag causing left wing drop . captain tried circle back , wing impacted embankment along section line road 100 yards inside boundary . either hot metal engines source ignited fuel spilling ruptured tank cabin quickly engulfed flames . initial cause explosion cylinder blow problem particular engine caused problems two , twa united dc-2 , landed safely .",3
mountain .,7
due icing .,7
"performing aerobatics , lost control numerous building near college .",3
engine fire .,2
llaveria mountains heavy fog caught fire . hit highest peak mountains .,7
"lost power left engine , yawed left , started descending turn direction . continued lose altitude turn sharper steeper angle struck caisson anchored right angles small island harbor immediately adjacent landing approach path . loss power left engine landing approach , necessitating attempted landing extremely hazardous conditions .",3
fire aboard .,2
taking hanover . visibility poor low fog covering runway . pilot searching proper path veered towards building still 40 meters ground . pilot tried raise trying turn left time lost control caught fire.the passengers pilots lufthansa .,9
one swedish passenger killed attacked german fighters . able land safely amsterdam .,2
shot british anti-aircraft fire . 6 south europa point .,7
.,7
storm attempting make forced landing .,3
persian gulf trace . named 'hannibal . ',4
burned government test,4
shot two soviet tupolev sb-2 bombers . 2-3 nm offshore prangli island near keri lighthouse . named kaleva .,1
inadvertently shot french anti-aircraft fire .,2
"seen circling canberra aerodrome headed west make final approach landing . momentarily disappeared behind one hills surround airport , reappeared . sound engines gunned , disappeared . explosion sight large plume black smoke followed . board hudson killed including several high ranking australian military leaders . witness later said appeared drop left wing dip nose steeply , classisymptoms stall , close ground recovery .",9
mountainous area hail storm .,7
"flying thunderstorm turbulence nosed plunged earth near short hill mountain . disabling pilots severe lightning discharge immediate neighborhood airplane , resulting loss control . limited accident investigation tools time , likely cause flying windshear . u.s. senator ernest lundeen minnesota killed .",3
shot japanese military fighters . ran 5 japanese fighters made emergency landing remote field machine-gunned trying escape .,2
weather related .,1
"bountiful peak wasatch mountains , snowstorm , 3 nm ne centerville . failure communications operators tintic , plymouth , salt lake city , utah , whose duty monitor range , detect malfunctioning immediately notify concerned failure pilot follow fullest extent established radio range technique accordance requirements procedure established united approved civil aeronautics administration .",9
icing .,7
midair collisioin private .,3
shot italian .,8
attempting land chicago . failure pilot exercise degree caution skill required avert stall approaching landing short northwest runway . substantial contributing factor accident error judgment pilot choosing short runway landing . accumulation ice wings may increased stalling speed .,9
mountains thunderstorm,7
"shortly passing west boundary airport , pilot started left turn . turn , contracted trees 113 level airport . full power applied engines attempt pull trees struck pilot lost control . ground point approximately one-fourth mile southwest airport boundary . action pilot attempting landing adverse weather conditions disregard minimums prescribed civil aeronautics administration maneuvering landing dangerously low altitude .",3
right wing struck tree pilot attempting land . struck several trees landed inverted swamp .,1
"hill pine woods , near chandler field , attempting make instrument landing approach rain fog . failure captain charge exercise proper degree fare checking altimeters determine whether correctly set properly functioning commencing landing approach . substantial contributing factor absence established uniform cockpit procedure eastern air lines captain co-pilot required make complete check controls instruments landing operations . captain edward rickenbacker , president eastern air lines , survived crash .",9
seaplane attemping land .,3
mountain .,7
takeoff .,1
"mountain ridge rain , low visibility overcast conditions . navigational error .",7
"burned takeoff heathfield airfield , veered runway striking small building embankment .",1
mountain range enroute .,7
lake bolomon engine failure takeoff .,1
hillside .,7
"following approach , contacted water unduly nose-low attitude moving sideways relative water . almost immediately first contact water , swerved violently right broke several major sections . failure captain exercise requisite caution skill landing . contributing factor smooth surface water , rendered difficult , captain 's depth perception well exact determination lateral movement .",9
"fog mist due icing wings . pilot , clarence bates , thrown clear wreckage lone survivor . accumulation ice wings surfaces airplane , increasing stalling speed drag airplane power required maintain . action captain descending attempt landing fargo known icing conditions critical ceiling conditions instead proceeding available alternate .",3
", new york chicago , circled wooded area 3 4 times looking landing spot stalling diving plowed field . cause unknown .",7
". potosi ( double peak , table spring mountain , olcott mountain ) , 32 sw las vegas , nv , 15 minutes taking western airlines terminal building las vegas . clipped rocky ledge , cartwheeled face cliff exploded , scattering wreckage bottom ravine . actress carole lombard , 33 , mother , press agent killed crash . mother want fly coin tossed see whether trip would made train . actress returning war-bond promotion . 6.7 course unknown reasons . failure captain follow proper course make use navigation facilities available . contributing factor blackout beacons area made necessary war emergency .",3
shot japanese military . owned british overseas airways .,8
shot error .,8
shortly takeoff losing control low clouds .,1
shot japanese military .,8
shot japanese military .,8
shot german military .,8
"2 km kunming airdome shortly takeoff . possible causes include engine failure , overloading , sabotage temporary blinding bright light .",1
"taking salt lake , proceeded wrong direction side hill 3.8 northeast salt lake city airport . point impact elevation 5,053 level 830 airport . deviation proper course , reasons undetermined .",7
"hit obstruction end runway , overran runway boundry . failure captain complete landing run time avoid obstruction end runway , reasons undetermined , action attempting take striking obstruction .",3
"flew thunderstorm observed near vertical dive crashing ground . icing , possible overloading .",7
attacked royal air force fighters . water attempting land .,7
"lufthansa chairman , von gablenz killed .",3
"iceland wwii . part 228th squadron raf . hit high ground eagle rock scottish highlands poor visibility . possible navigational error exact cause unknown . prince george , duke kent among dead .",8
takeoff .,1
made wide descending turn engines running roughly hill .,0
"attempting takeoff , porpoised , attained height 35 ft. water broke . inadvertent actuation wing flaps full 35 degrees position take-off run , thereby rendering excessively nose-heavy uncontrollable .",9
"midair collision army bomber airliner chino canyon near palm springs 9,000 destroying rudder dc-3 . 12 aboard dc-3 killed . boeing b-34 landed safely minor damage . reckless irresponsible conduct bomber pilot , william wilson , deliberately maneuvering bomber dangerous proximity airliner unjustifiable attempt attract attention first officer , friend aboard airliner . composer song writer ralph rainger , 41 , killed . `",4
"performing violent maneuver . failure left , possibly wing tips horizontal tail surfaces result sever pull-up caused unusual abnormally high air loads . reason pull-up maneuver determined .",3
along coast south american africa .,7
disappeared never found .,7
"flew 2,500 ft. mountain circling bad weather , unable land darkness deciding whether divert san diego . clipped trees , struck ground broke . failure captain determine position accurately descending dangerously low altitude extremely poor weather conditions hours darkness . named philippine clipper .",1
". chaparra andes mountains . action pilot continuing instruments overcast , contrary company procedure , according evidence , pilot aware .",1
ran fuel .,2
"lost altitude , struck power lines packing house encountering engine fire test .",9
"targus river poor weather attempting land . inadvertent contact left wing tip water making descending turn preparatory landing . named yankee clipper . novelist ben robertson singer , actress tamara drasin , 34 , among killed . actress jane froman seriously injured .",9
caught downdraft mountain pass .,6
disappeared himalayas .,1
", taking darkness poor visibility , heavy timber caught fire .",1
stalled poor weather water emergency landing open . broke heavy seas .,9
"shot german air force bay biscay . last message received attacked enemy . dutch crew . british actor leslie howard , 42 , killed .",8
thunderstorm activity attempting land .,8
"took ground fog leveled altitude 300 . matter minutes caught fire air , dived trees one wings came away leaving great opening fuselage passengers emptied bush final impact .",3
", bound london , mediterranean shortly takeoff . wladyslaw sikorski , prime minister polish government exile , killed .",1
"trees attempting land strong turbulence violent downdrafts . evidence occupants cabin victims suffocation fire , , inability effect exit . loss control due unusually severe turbulence violent downdraft caused thunderstorm unknown unpredictable intensity .",5
women 's prison hit anti-aircraft fire bombing run .,3
ocean .,0
shot japanese fighters .,2
struck naval academy building attemptin take . broke two fell harbor . named 'city janiero . ',3
midair collision gulf mexico flying formation . eleven killed .,4
wooded area nearly colliding glider towed another . evasive maneuver caused stall crash .,7
cashed trees shortly taking .,0
"struck ground nose-first vertical attitude completely demolished impact . inability gain maintain altitude due carburetor ice , propeller ice wing ice combination icing conditions , terrain weather unsuitable emergency landing .",3
"snowstorm , cliff near summit black mountain , 60 north destination , montreal . wreckage located three years later .",7
"shot ju88 , german military .",8
stalled making descending turn parachute exercise .,9
village .,8
short runway poor weather conditions .,8
navigational error caused strike mountain .,9
flew hill shortly talking ward 's strip operated qantas allied directorate air transport .,8
struck mountain attempting go-around .,7
midair collision occurred cross-country flying formation . twelve kiled aboard 4207183 thirteen aboard 42-7408. faulty flying technique displayed pilot 42-7183 .,4
pilot error .,1
"river sank ,18 southwest memphis , snowstorm , little rock . cause undetermined .",7
flew mountain,7
missing never found .,7
disappeared non-combat mission . wreckage found 39 years later 4/30/1983 .,7
shortly takeoff snow storm . failure pilot recognize proximity ground due heavy snow entirely covered terrain .,1
shot allied fighters .,8
row houses shortly taking dorval airport .,1
